iteration, timestamp_s      , pid  , runtime_ns, runtime_ms, delta_ns , delta_ms, rolling_runtime_ms, switches, nice, tickets, ticket_share
        1, 1764308934.943256,  2739,     213852,      0.214,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  2750,    3613152,      3.613,         0,    0.000,              0.000,       97, 0   ,     100,     0.001519
        1, 1764308934.943256,  2783,    1794054,      1.794,         0,    0.000,              0.000,       15, 0   ,     100,     0.001519
        1, 1764308934.943256,  2829,   47973065,     47.973,         0,    0.000,              0.000,     2863, 0   ,     100,     0.001519
        1, 1764308934.943256,  2866,     683455,      0.683,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,  2867,     802481,      0.802,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,  2868,      88024,      0.088,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  2878,     667820,      0.668,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,  2879,     943915,      0.944,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,  2883,    2081431,      2.081,         0,    0.000,              0.000,       15, 0   ,     100,     0.001519
        1, 1764308934.943256,  2903,   50892674,     50.893,         0,    0.000,              0.000,     2860, 0   ,     100,     0.001519
        1, 1764308934.943256,  2904,   45408175,     45.408,         0,    0.000,              0.000,     2880, 0   ,     100,     0.001519
        1, 1764308934.943256,  2925,     182364,      0.182,         0,    0.000,              0.000,        3, 0   ,     100,     0.001519
        1, 1764308934.943256,  2944,     211604,      0.212,         0,    0.000,              0.000,        7, 0   ,     100,     0.001519
        1, 1764308934.943256,  3050,     734477,      0.734,         0,    0.000,              0.000,       12, 0   ,     100,     0.001519
        1, 1764308934.943256,  3051,     659693,      0.660,         0,    0.000,              0.000,        9, 0   ,     100,     0.001519
        1, 1764308934.943256,  3070,    1363393,      1.363,         0,    0.000,              0.000,       14, 0   ,     100,     0.001519
        1, 1764308934.943256,  3081,     631070,      0.631,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  3093,   12031203,     12.031,         0,    0.000,              0.000,       33, 0   ,     100,     0.001519
        1, 1764308934.943256,  3107,    1359714,      1.360,         0,    0.000,              0.000,       15, 0   ,     100,     0.001519
        1, 1764308934.943256,  3141,    1824618,      1.825,         0,    0.000,              0.000,       53, 0   ,     100,     0.001519
        1, 1764308934.943256,  3212,     598953,      0.599,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  3220,     622799,      0.623,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,  3292,     579840,      0.580,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  3369,      54999,      0.055,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  3407,     482173,      0.482,         0,    0.000,              0.000,        3, 0   ,     100,     0.001519
        1, 1764308934.943256,  3418,     847953,      0.848,         0,    0.000,              0.000,       15, 0   ,     100,     0.001519
        1, 1764308934.943256,  3419,     770633,      0.771,         0,    0.000,              0.000,       12, 0   ,     100,     0.001519
        1, 1764308934.943256,  3421,      79294,      0.079,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  3423,    5177523,      5.178,         0,    0.000,              0.000,      106, 0   ,     100,     0.001519
        1, 1764308934.943256,  3424,   17890414,     17.890,         0,    0.000,              0.000,      806, 0   ,     100,     0.001519
        1, 1764308934.943256,  3456,   54134497,     54.134,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,  3499,    3991558,      3.992,         0,    0.000,              0.000,       32, 0   ,     100,     0.001519
        1, 1764308934.943256,  3531,      76481,      0.076,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,  3532,      51778,      0.052,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,  3546,    3702756,      3.703,         0,    0.000,              0.000,      408, 0   ,     100,     0.001519
        1, 1764308934.943256,  3566,     747649,      0.748,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,  3684,    5660446,      5.660,         0,    0.000,              0.000,       87, 0   ,     100,     0.001519
        1, 1764308934.943256,  3689,    4379082,      4.379,         0,    0.000,              0.000,       55, 0   ,     100,     0.001519
        1, 1764308934.943256,  3697,    2046259,      2.046,         0,    0.000,              0.000,       33, 0   ,     100,     0.001519
        1, 1764308934.943256,  3718,   32449493,     32.449,         0,    0.000,              0.000,       42, 0   ,     100,     0.001519
        1, 1764308934.943256,  3749,     222601,      0.223,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,  3775,     148771,      0.149,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  3786,     715000,      0.715,         0,    0.000,              0.000,        6, 0   ,     100,     0.001519
        1, 1764308934.943256,  3788,    1925516,      1.926,         0,    0.000,              0.000,       29, 0   ,     100,     0.001519
        1, 1764308934.943256,  3789,    2187504,      2.188,         0,    0.000,              0.000,       27, 0   ,     100,     0.001519
        1, 1764308934.943256,  3807,    4681047,      4.681,         0,    0.000,              0.000,       57, 0   ,     100,     0.001519
        1, 1764308934.943256,  3811,   27248207,     27.248,         0,    0.000,              0.000,       71, 0   ,     100,     0.001519
        1, 1764308934.943256,  3822,  105626201,    105.626,         0,    0.000,              0.000,      418, 0   ,     100,     0.001519
        1, 1764308934.943256,  3836,   61457421,     61.457,         0,    0.000,              0.000,       56, 0   ,     100,     0.001519
        1, 1764308934.943256,  3846,   64792703,     64.793,         0,    0.000,              0.000,       74, 0   ,     100,     0.001519
        1, 1764308934.943256,  3942,   49492831,     49.493,         0,    0.000,              0.000,       54, 0   ,     100,     0.001519
        1, 1764308934.943256,  3995,    4022629,      4.023,         0,    0.000,              0.000,      146, 0   ,     100,     0.001519
        1, 1764308934.943256,  3996,    3448745,      3.449,         0,    0.000,              0.000,      146, 0   ,     100,     0.001519
        1, 1764308934.943256,  3997,    3807147,      3.807,         0,    0.000,              0.000,      153, 0   ,     100,     0.001519
        1, 1764308934.943256,  3998,    3158385,      3.158,         0,    0.000,              0.000,      146, 0   ,     100,     0.001519
        1, 1764308934.943256,  3999,    3783347,      3.783,         0,    0.000,              0.000,      146, 0   ,     100,     0.001519
        1, 1764308934.943256,  4000,    3807028,      3.807,         0,    0.000,              0.000,      147, 0   ,     100,     0.001519
        1, 1764308934.943256,  4001,    3890899,      3.891,         0,    0.000,              0.000,      146, 0   ,     100,     0.001519
        1, 1764308934.943256,  4002,    3969166,      3.969,         0,    0.000,              0.000,      148, 0   ,     100,     0.001519
        1, 1764308934.943256,  4003,    3635827,      3.636,         0,    0.000,              0.000,      147, 0   ,     100,     0.001519
        1, 1764308934.943256,  4004,    3359929,      3.360,         0,    0.000,              0.000,      147, 0   ,     100,     0.001519
